religiousBeliefID,name,classification
1,Ancestor Worship,Pantheon
2,Dance of the Aurora,Pantheon
3,Desert Folklore,Pantheon
4,Earth Mother,Pantheon
5,Faith Healers,Pantheon
6,Fertility Rites,Pantheon
7,God of Craftsmen,Pantheon
8,God of the Open Sky,Pantheon
9,God of the Sea,Pantheon
10,God of War,Pantheon
11,Goddess of Festivals,Pantheon
12,Goddess of Love,Pantheon
13,Goddess of Protection,Pantheon
14,Goddess of the Hunt,Pantheon
15,God-King,Pantheon
16,Messenger of the Gods,Pantheon
17,Monument to the Gods,Pantheon
18,One with Nature,Pantheon
19,Oral Tradition,Pantheon
20,Religious Idols,Pantheon
21,Religious Settlements,Pantheon
22,Sacred Path,Pantheon
23,Sacred Waters,Pantheon
24,Stone Circles,Pantheon
25,Sun God,Pantheon
26,Tears of the Gods,Pantheon
27,Ceremonial Burial,Founder Belief
28,Church Property,Founder Belief
29,Initiation Rites,Founder Belief
30,Interfaith Dialogue,Founder Belief
31,Papal Primacy,Founder Belief
32,Peace Loving,Founder Belief
33,Pilgrimage,Founder Belief
34,Tithe,Founder Belief
35,World Church,Founder Belief
36,Asceticism,Follower Belief
37,Cathedrals,Follower Belief
38,Choral Music,Follower Belief
39,Divine Inspiration,Follower Belief
40,Feed the World,Follower Belief
41,Guruship,Follower Belief
42,Holy Warriors,Follower Belief
43,Liturgical Drama,Follower Belief
44,Monasteries,Follower Belief
45,Mosques,Follower Belief
46,Pagodas,Follower Belief
47,Peace Gardens,Follower Belief
48,Religious Art,Follower Belief
49,Religious Center,Follower Belief
50,Religious Community,Follower Belief
51,Swords into Plowshares,Follower Belief
52,Defender of the Faith,Enhancer Belief
53,Holy Order,Enhancer Belief
54,Itinerant Preachers,Enhancer Belief
55,Just War,Enhancer Belief
56,Messiah,Enhancer Belief
57,Missionary Zeal,Enhancer Belief
58,Religious Texts,Enhancer Belief
59,Religious Unity,Enhancer Belief
60,Reliquary,Enhancer Belief
61,Charitable Missions,Reformation Belief
62,Evangelism,Reformation Belief
63,Heathen Conversion,Reformation Belief
64,Jesuit Education,Reformation Belief
65,Religious Fervor,Reformation Belief
66,Sacred Sites,Reformation Belief
67,To the Glory of God,Reformation Belief
68,Underground Sect,Reformation Belief
69,Unity of the Prophets,Reformation Belief
